Tag,Count
hyprland/hypr,194
kde,120
i3,100
gnome,82
bspwm,77
oc,71
awesome,57
xfce,39
dwm,33
sway,22
openbox,21
qtile,16
yabai,16
xmonad,12
cinnamon,12
polybar,8
ragnar,7
icewm,7
mate,5
jwm,4
herbstluft,4
grub,3
neovim,3
bismuth,3
rofi,3
tty,3
lxqt,3
waybar,3
rectangle,3
sowm,3
twm,2
arch,2
xragnar,2
picom,2
emacs,2
amethyst,2
none,2
catppuccin,2
2bwm,2
plymouth,2
macos,2
fvwm,2
aqua,2
lightdm,2
tmux,2
steamdeck,1
templeos,1
microsoft w10,1
surface go 2,1
hackmatrix,1
nyxt,1
lego ev3,1
m2 macbook air,1
clock,1
lorem ipsum,1
greetd,1
iphone,1
artix,1
kera desktop,1
refind,1
xperia 10 iii w,1
sailfish w,1
wallpapers,1
homarr 0.11,1
thinkpad a20m,1
xfcxe,1
m1 macbook pro,1
edex-ui,1
voxelwm,1
arm64,1
marswm,1
mutter,1
komorebi,1
dunst,1
idk,1
zellij,1
!pop_os,1
nixos,1
paleofetch-mac-prettier,1
wayfire,1
colorscheme,1
meta discussion,1
x230,1
chicago95,1
(b)lfs,1
ctwm,1
kitty,1
rosepine,1
dk,1
hyrpland,1
evilwm,1
fim,1
uxterm,1
ed,1
cinnamon de,1
discord,1
vm,1
cms,1
hyprlanad,1
mint,1
apple a,1
ux,1
emwm,1
nscde,1
kanagawa,1
wallpaper,1
cool-retro-term,1
slwm,1
ratpoison,1
desktop,1
wms,1
hypnos,1
windowmaker,1
spectrwm,1
eww,1
externos,1
pekwm,1
hyplrand,1
trinity,1
switch and 3ds,1
doubt,1
nobara 39,1
fluxbox,1
tokyo dark,1
nord,1
laptop,1
fabric,1
berry,1
dwl,1
