count,wm and dwm
125,i3(-gaps)
99,kde plasma
77,bspwm
64,gnome
59,dwm
31,sway
30,oc
28,awesome
26,xfce
21,qtile
19,ratpoison
18,openbox
11,aqua
10,xmonad
9,xfce4
5,cinnamon
5,hyprland
5,jwm
4,lxqt
4,neovim
4,twm
4,yabai
3,berry
3,cde
3,nscde
3,worm
2,3ds
2,dk
2,evilwm
2,hlwm
2,mate
2,pantheon
2,river
2,tmux
1,cosmic
1,desktop
1,dmm
1,emacs
1,fvwm
1,herbstluftwm
1,hikari
1,imgur gallery
1,latitude d510
1,leftwm
1,m1 mac os monterey
1,mlvwm
1,nord
1,ob
1,oc-fork
1,oculus
1,patches
1,quartz
1,refind
1,rtfetch
1,sh
1,shell
1,shrine
1,skywm
1,spectrwm
1,unity
1,unix
1,vtm
1,wezterm
1,windowmaker
1,xmonad wm
